Symbol,Name,LastSale,MarketCap,MktCap,Sector,Industry,SExchange,LSymbol
CINF,Cincinnati Financial Corporation,74.99,$12.35B,12350000000.00,Finance,Property-Casualty Insurers,NASDAQ,cinf
CTXS,"Citrix Systems, Inc.",81.52,$12.32B,12320000000.00,Technology,Computer Software: Prepackaged Software,NASDAQ,ctxs
NDAQ,"Nasdaq, Inc.",74.45,$12.3B,12300000000.00,Finance,Investment Bankers/Brokers/Service,NASDAQ,ndaq
RJF,"Raymond James Financial, Inc.",85.37,$12.3B,12300000000.00,Finance,Investment Bankers/Brokers/Service,NYSE,rjf
TAL,TAL Education Group,149.2,$12.28B,12280000000.00,Consumer Services,Other Consumer Services,NYSE,tal
KMX,CarMax Inc,66.73,$12.23B,12230000000.00,Consumer Durables,Automotive Aftermarket,NYSE,kmx
GPC,Genuine Parts Company,82.81,$12.21B,12210000000.00,Capital Goods,Automotive Aftermarket,NYSE,gpc
ENIA,Enel Americas S.A.,10.58,$12.16B,12160000000.00,Public Utilities,Electric Utilities: Central,NYSE,enia
CNP,"CenterPoint Energy, Inc.",28.08,$12.1B,12100000000.00,Public Utilities,Electric Utilities: Central,NYSE,cnp
COO,"Cooper Companies, Inc. (The)",247.01,$12.07B,12070000000.00,Health Care,Ophthalmic Goods,NYSE,coo
NLY,Annaly Capital Management Inc,11.83,$12.06B,12060000000.00,Consumer Services,Real Estate Investment Trusts,NYSE,nly
NTAP,"NetApp, Inc.",44.36,$12.05B,12050000000.00,Technology,Electronic Components,NASDAQ,ntap
MAS,Masco Corporation,37.64,$12.02B,12020000000.00,Basic Industries,Forest Products,NYSE,mas
TECK,Teck Resources Ltd,21.09,$12.02B,12020000000.00,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),NYSE,teck
XL,XL Group Ltd.,45.98,$12.02B,12020000000.00,Finance,Property-Casualty Insurers,NYSE,xl
WF,Woori Bank,53.5,$12.01B,12010000000.00,Finance,Commercial Banks,NYSE,wf
VIAB,Viacom Inc.,34.37,$11.94B,11940000000.00,Consumer Services,Television Services,NASDAQ,viab
GG,Goldcorp Inc.,13.79,$11.93B,11930000000.00,Basic Industries,Precious Metals,NYSE,gg
TIF,Tiffany & Co.,95.09,$11.85B,11850000000.00,Consumer Services,Consumer Specialties,NYSE,tif
MKC,"McCormick & Company, Incorporated",94.7,$11.8B,11800000000.00,Consumer Non-Durables,Packaged Foods,NYSE,mkc
TSS,"Total System Services, Inc.",64.02,$11.78B,11780000000.00,Miscellaneous,Business Services,NYSE,tss
COG,Cabot Oil & Gas Corporation,25.16,$11.71B,11710000000.00,Energy,Oil & Gas Production,NYSE,cog
IT,"Gartner, Inc.",129.53,$11.71B,11710000000.00,Consumer Services,Other Consumer Services,NYSE,it
MAA,"Mid-America Apartment Communities, Inc.",102.24,$11.61B,11610000000.00,Consumer Services,Real Estate Investment Trusts,NYSE,maa
SNPS,"Synopsys, Inc.",76.69,$11.53B,11530000000.00,Technology,Computer Software: Prepackaged Software,NASDAQ,snps
